Date,Day,Open,High,Low,Close,Volume
2024-11-01 10:59:00,5,69356.6,69364,69342,69372,2.59811012
2024-11-01 11:00:00,5,69364.1,69347.2,69338,69370,1.5119563
2024-11-01 11:01:00,5,69349.4,69352,69349.4,69362.6,1.59792135
2024-11-01 11:02:00,5,69352.1,69346,69340,69359.2,0.39559829
2024-11-01 11:03:00,5,69346.3,69350,69346.3,69369.9,2.37449749
2024-11-01 11:04:00,5,69350,69360.9,69350,69370.8,3.07998842
2024-11-01 11:05:00,5,69362,69362.6,69350,69366.9,1.3582791
2024-11-01 11:06:00,5,69362.6,69373.9,69358.7,69421.8,5.07270237
2024-11-01 11:07:00,5,69374,69393.8,69361.8,69406,6.16224181
2024-11-01 11:08:00,5,69393.9,69443.9,69393.8,69451.6,3.23241705
2024-11-01 11:09:00,5,69443.9,69432.7,69429.5,69451.9,0.98632513
2024-11-01 11:10:00,5,69432.7,69404.2,69380,69432.7,1.67452719
2024-11-01 11:11:00,5,69404,69408,69396,69423.8,1.15741242
2024-11-01 11:12:00,5,69408.1,69415.2,69400.2,69424.8,0.68217123
2024-11-01 11:13:00,5,69415.2,69411.1,69408,69437.1,2.13997239
2024-11-01 11:14:00,5,69411.1,69433.8,69411.1,69433.9,3.99909258
2024-11-01 11:15:00,5,69433.9,69411.1,69405,69437.1,2.11885554
2024-11-01 11:16:00,5,69411.2,69419.9,69411.1,69426,1.68059911
2024-11-01 11:17:00,5,69420,69449.5,69418,69450,2.91952814
2024-11-01 11:18:00,5,69449.6,69451.2,69427,69452.2,0.99812319
2024-11-01 11:19:00,5,69451.3,69455.2,69451.2,69478,0.86622764
2024-11-01 11:20:00,5,69455.5,69427.1,69427.1,69466,1.28731859
2024-11-01 11:21:00,5,69427.2,69380,69380,69442,8.93250296
2024-11-01 11:22:00,5,69380.1,69367.8,69354.3,69380.1,0.70274259
2024-11-01 11:23:00,5,69367.9,69414.9,69367.8,69416,0.75850325
2024-11-01 11:24:00,5,69414.9,69489.9,69412,69490,1.4147823
2024-11-01 11:25:00,5,69490,69498.6,69478.9,69498.7,0.54514099
2024-11-01 11:26:00,5,69498.7,69504.1,69498.6,69504.9,3.13115675
2024-11-01 11:27:00,5,69504.2,69461.8,69456.8,69504.2,2.02133303
